year,netMigration,natGrowth,natGrowth-comp,netMigration-comp,Canada,Ontario
1931,23340,133534,23340,133534,10376700,3431700
1932,17906,133898,17906,133898,10510000,3473000
1933,13513,129045,13513,129045,10633000,3512000
1934,11609,118608,11609,118608,10741000,3544000
1935,11474,116936,11474,116936,10845000,3575000
1936,12767,117194,12767,117194,10950000,3605500
1937,16193,107199,16193,107199,11045000,3637000
1938,17858,114259,17858,114259,11152000,3672000
1939,13540,121354,13540,121354,11267000,3708000
1940,11279,124855,11279,124855,11381000,3747000
1941,8845,138439,8845,138439,11506700,3787700
1942,7521,146211,7521,146211,11654000,3884000
1943,9127,158506,9127,158506,11795000,3915000
1944,20438,156621,20438,156621,11946000,3963000
1945,38341,151726,38341,151726,12072000,4000000
1946,71719,216113,71719,216113,12393000,4093000
1947,64127,241786,64127,241786,12646000,4176000
1948,125414,228360,125414,228360,12930000,4275000
1949,95217,242525,95217,242525,13548000,4378000
1950,73912,247789,73912,247789,13807000,4471000
1951,167117,255269,167117,255269,14163000,4665000
1952,103939,277174,103939,277174,14598000,4841000
1953,110893,290093,110893,290093,15001000,5002000
1954,97077,311343,97077,311343,15444000,5174000
1955,48053,314461,48053,314461,15834000,5311000
1956,96104,318778,96104,318778,16235000,5470000
1957,207781,332514,207781,332514,16810000,5722000
1958,63170,334917,63170,334917,17225000,5874000
1959,37739,339362,37739,339362,17624000,6020000
1960,28515,338858,28515,338858,18009000,6158000
1961,-616,334715,-616,334715,18363000,6275000
1962,-2154,325994,-2154,325994,18708000,6395000
1963,9588,318400,9588,318400,19061000,6535000
1964,20176,307065,20176,307065,19420000,6687000
1965,41451,269656,41451,269656,19777000,6849000
1966,103254,237847,103254,237847,20146000,7025000
1967,114414,220611,114414,220611,20509000,7186000
1968,83938,211114,83938,211114,20814000,7305000
1969,71442,215170,71442,215170,21111000,7442000
1970,66752,216027,66752,216027,21400000,7613000
1971,72966,204915,72966,204915,22039243,7882241
1972,98806,184906,98806,184906,22288499,7992037
1973,151414,179334,151414,179334,22570338,8107108
1974,174468,183856,174468,183856,22907390,8240114
1975,161532,192147,161532,192147,23240585,8352911
1976,118168,192978,118168,192978,23533565,8438765
1977,83826,193902,83826,193902,23801445,8530102
1978,51651,190673,51651,190673,24025447,8604263
1979,95534,197881,95534,197881,24279044,8674941
1980,140744,199236,140744,199236,24603534,8757388
1981,134471,200317,134471,200317,24920120,8846005
1982,86550,198669,86550,198669,25193538,8957042
1983,61943,199205,61943,199205,25434150,9074145
1984,59186,201304,59186,201304,25677668,9210346
1985,68456,194404,68456,194404,25914797,9338435
1986,115648,188689,115648,188689,26187639,9493289
1987,164065,184789,164065,184789,26542370,9702789
1988,245917,186784,245917,186784,26932655,9917210
1989,232166,201696,232166,201696,27402695,10167642
1990,180462,213513,180462,213513,27807591,10344678
1991,134719,206964,134719,206964,28127327,10465562
1992,174202,202108,174202,202108,28474177,10610665
1993,142805,183482,142805,183482,28786619,10728737
1994,152213,178037,152213,178037,29096372,10860406
1995,161792,167283,161792,167283,29396274,10993416
1996,166553,153320,166553,153320,29708206,11130574
1997,154022,132929,154022,132929,29994790,11278893
1998,117263,124327,117263,124327,30231639,11408804
1999,158015,117719,158015,117719,30492106,11559464
2000,198753,109820,198753,109820,30783969,11748348
2001,238473,114206,238473,114206,31129119,11961789
2002,212500,105199,212500,105199,31451764,12146053
2003,194416,109033,194416,109033,31737869,12291669
2004,194964,110488,194964,110488,32039959,12437664
2005,212963,112044,212963,112044,32353968,12578931
2006,216495,126538,216495,126538,32680712,12700994
2007,229257,132647,229257,132647,33002138,12807208
2008,266238,139269,266238,139269,33372418,12927148
2009,267023,142445,267023,142445,33757077,13047485
2010,250422,137138,250422,137138,34131683,13189339
2011,240626,134125,240626,134125,34457998,13308659
2012,253590,135273,253590,135273,34836008,13434943
2013,260572,127985,260572,127985,35211866,13558528
2014,222310,125279,222310,125279,35559047,13661314
2015,199927,118059,199927,118059,35822894,13757688
2016,334922,115889,334922,115889,36258726,13946431
2017,385091,99218,385091,99218,36721223,14150783
2018,437928,88899,437928,88899,37250385,14392903
2019,496060,87706,496060,87706,37810038,14636131
2020,106144,53499,106144,53499,38007048,14721852
2021,414909,57779,414909,57779,38426473,14901607
2022,1007557,42553,1007557,42553,39292355,15262660